idle_time_total,idle_time_max,edit_events,edit_velocity,backspace_ratio,cursor_moves,cursor_distance,cursor_entropy,error_events,unique_errors,error_repeat_count,error_persistence,time_since_last_run,run_attempt_count,context_switches,focus_time_avg,comment_keywords,comment_length_avg,is_stuck,pattern
12.602100874427286,12.648759280289138,69,12.762331925990395,0.14771760257666647,27,60.73949826910887,1.013518320229725,2,2,0,0.11121712621381434,68.75636224712235,4,5,13.506701358858457,0,16.13758454065872,0,implementing_feature
48.330055950342405,15.466123172837818,32,4.2290059533429565,0.2521092998450145,65,274.8365596047017,2.8189980046116245,12,1,1,0.8921455023678966,102.48275599007069,9,5,9.756348442616206,0,22.981315567363065,1,typo_hunt
64.54199512191823,87.16209312321233,6,0.7263038509309807,0.8543551206061492,14,34.23721384053477,1.157814351668011,1,0,0,0.0,220.42875540582935,0,10,16.688592130779384,2,64.36271128540122,1,concept_gap
8.265736529003048,6.923596929460922,60,5.4203595156738045,0.5232943899613501,30,106.81400753258345,2.1211466646232067,0,0,0,0.0,42.531738130212666,7,1,46.03751478404638,0,12.928733987404401,0,refactoring
17.014953071493434,20.18503340133657,37,4.605717883451582,0.4930426927155847,91,161.44442379785733,2.1541136465721307,19,1,1,0.9998970769154794,70.43762350254576,5,5,7.896471666198748,0,19.22423013722803,1,typo_hunt
39.86659123261863,25.078919619121,36,2.5502659437225956,0.720353046162352,52,105.87698501499547,2.692743035498384,10,2,5,0.6193802856236342,153.72016401983524,1,3,18.334625366155752,2,49.94583576890345,1,syntax_error_loop
12.574314891108312,10.320073859331245,42,6.400791336113796,0.19806557714887785,28,67.70998372288567,1.459385168764086,2,0,0,0.0,45.03464662499495,6,0,47.112619724817215,0,27.887162620099236,0,steady_progress
37.18471086823911,13.324266941695708,52,2.6581740471380373,0.42921926697588325,85,198.61389558545346,2.7132976303096417,11,1,1,0.8827383773950085,114.2463833623506,9,3,7.960174119331782,0,17.79789936212828,1,typo_hunt
4.479654025864991,7.193156351524254,48,7.5031371910341385,0.19253224410028072,20,57.14420459415853,1.7379659893237434,1,1,0,0.0,53.90071764848107,4,0,49.16712604594603,0,12.193243458393338,0,steady_progress
33.698500768991416,40.01291652764968,46,2.3545429294055964,0.7052925171780606,44,110.33112499411695,2.1592047199359317,8,2,7,0.7512942212273346,137.5280521882148,1,3,16.14900994248761,1,54.319614004931175,1,syntax_error_loop
36.49930107951668,29.012268339023638,44,3.634266981124951,0.21707751126057967,68,152.23123185945283,3.0343511906980574,18,1,1,0.9068485970404468,74.46576169992359,7,2,14.437835916873118,0,23.018285734012245,1,typo_hunt
10.782385863244837,9.23889459131514,67,10.358719989980756,0.14500204828546298,33,48.984732816453324,1.411633560152473,2,1,0,0.12974065579493618,71.88235653926208,3,6,23.776177669192222,0,17.72230022161933,0,implementing_feature
57.65317823622273,27.630243540624786,33,2.488256099185802,0.5802008562833858,42,112.83478420288851,2.475732938938494,10,2,5,0.7296367412360201,116.68348301161741,0,4,14.447511367577167,1,47.857925991756616,1,syntax_error_loop
